name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,logloss,0.11050752477197107,33.28,0.0416
2_Default_Xgboost,Xgboost,logloss,0.08698148227047571,22.1,0.0308
3_Default_CatBoost,CatBoost,logloss,0.08357772693574365,19.69,0.0371
8_LightGBM,LightGBM,logloss,0.07970071542931492,19.39,0.3929
4_Xgboost,Xgboost,logloss,0.10741356938132493,22.81,0.0361
12_CatBoost,CatBoost,logloss,0.08706864388229532,25.71,0.0533
9_LightGBM,LightGBM,logloss,0.1200517216269674,20.43,0.0406
5_Xgboost,Xgboost,logloss,0.6608576494646067,21.03,0.0567
13_CatBoost,CatBoost,logloss,0.08371929927429456,21.3,0.0607
10_LightGBM,LightGBM,logloss,0.10397929905273821,21.11,0.2195
6_Xgboost,Xgboost,logloss,0.1532112014603958,21.21,0.0395
14_CatBoost,CatBoost,logloss,0.09175514298946157,72.83,0.0301
15_LightGBM,LightGBM,logloss,0.07970071542931492,20.93,0.1033
16_LightGBM,LightGBM,logloss,0.07970071542931492,22.48,0.0168
17_LightGBM,LightGBM,logloss,0.07970071542931492,22.65,0.0313
18_LightGBM,LightGBM,logloss,0.07970071542931492,22.01,0.0302
Ensemble,Ensemble,logloss,0.07780993253659411,3.3,0.0641
15_LightGBM_Stacked,LightGBM,logloss,0.1004395413162545,22.97,0.5103
3_Default_CatBoost_Stacked,CatBoost,logloss,0.10000499685064604,23.77,0.4468
2_Default_Xgboost_Stacked,Xgboost,logloss,0.10760968488028139,23.46,0.4587
Ensemble_Stacked,Ensemble,logloss,0.07734634409793681,4.19,0.5137
